addresses;emerald_balance;eth_balance;erc20_input_tx_count;erc20_output_tx_count;erc20_amount_in;erc20_amount_out;erc20_balance;transfer_input_tx_count;transfer_output_tx_count;transfer_output_balance;swap_ledger_emerald_bought;swap_ledger_emerald_sold;swap_ledger_ether_gained;swap_ledger_ether_spent;swap_ledger_emerald_received;swap_ledger_eth_received;swap_ledger_received_from;swap_ledger_tx_list;os_eth_spent;os_eth_gained;os_emeralds_bought;os_emeralds_sold;ox_txs;is_contract
0xf3E6a2098F6889cEAbdC541F4577242C9437F9DB;2.59;-0.25;1;0;2.59;0.0;2.59;2;0;2;2.597;0.0;0.0;0.25;0.0;0.0;0x86c7ae25c70e5b59bc330dd1e200147e1d7fe160801d9f528a2b315d4d23ee88;;0.0;0.0;0;0;;False
0xcE3bEf7Cc450F5B0c3bC3fb803af5e324Fe381d1;0.52;-0.05;1;0;0.52;0.0;0.52;0;0;0;0.5228;0.0;0.0;0.05;0.0;0.0;0xca127b4a23728fdfe9b7ea3c79eb7774b068d7323dddf8176d783e803be7f935;;0.0;0.0;0;0;;False
0x8cec52c433D065dE3d1C40a63D8E54BEe1469435;26.76;-2.12;4;0;26.76;0.0;26.76;26;0;26;26.78;0.0;0.0;2.12;0.0;0.0;0xeed285489f8b4f87402aef4e2725d8c2e0dc224b4404bbeeb18c4bb9451f1ffd, 0x8b61176e5e4026002a5a77160f9581b5c8d5a9ecc64ccd6823916a8b16624dd7, 0x42c47f9e82b60da7d39f2fe11aa214a39a6494091b9430d10c6bdfa6cabf7e5e, 0x0bcbddca10eab40c7cbc3126547390e990aee8539f2c83b0c97b2e883a79b164;;0.0;0.0;0;0;;False
0x7109faeB55c207aB78963d103db5585A43fa14DC;1.0;-0.1103;1;0;1.0;0.0;1.0;1;0;1;1.0;0.0;0.0;0.1103;0.0;0.0;0x4eb1a16e77a7cefebd44b4da414aa72fadca3d3f31ef019a4b0c1c7762a7db3b;;0.0;0.0;0;0;;False
0xFC949a08A15c32E87BDC6D0a0A3DF68E63603431;23.04;-1.72;1;0;23.04;0.0;23.04;23;0;23;23.05;0.0;0.0;1.72;0.0;0.0;0x0a06a303f1be77b8de94ec5591568cb0e17e9c0e4cd8525a873edb79d318f9be;;0.0;0.0;0;0;;False
0xd4b3867A834c5105B7B090365607d5b674d003Cb;5.02;-0.24;1;0;5.02;0.0;5.02;5;0;5;5.022;0.0;0.0;0.24;0.0;0.0;0xafda17c3d8f753cdd93384776481f14fc2cd74655980b56485d586bfd4bc10ab;;0.0;0.0;0;0;;False
0x1d97C0Bb5Dc445cdf3ae37827BEEFe79963dd5bC;0.0;0.033;2;1;25.0;25.0;0.0;10;10;0;25.0;25.0;1.638;1.605;0.0;0.0;0xc54e10d40642e618c0ddc21a10a4920946e136f3d47ca2670595b1f31ddbcf9c, 0xc74e5af060ed8de64bf34c9627379bc0049c5d91c88a4e1adee70b9d93edd796, 0x7e731df82abac4ba4a097cb6f3060cd34bebad64fdc663768787be5db1a36151;;0.0;0.0;0;0;;False
0x69bAF7802Aa5aaAfc781ee93fFdf029ed367C7e6;0.0;-0.1777;1;1;5.0;5.0;0.0;5;5;0;5.002;5.0;0.3223;0.5;0.0;0.0;0x75ecab68e85ba45b3bd24ce931d0c47b0d8651facb64eb2074bb2c988423b02f, 0x09def31762e36e3899e20ea128c9531780bd5ea201d6203b2ed75669a1b5879f;;0.0;0.0;0;0;;False
0xbEaF3936b36bb2692065372816da3C58a693F9C2;3.78;0.0133;1;1;6.78;3.0;3.78;6;3;3;6.788;3.0;0.3133;0.3;0.0;0.0;0x75b3ecd81431a304f6cf770e1099f21a7c9852eabe700ef682e3612303b6ff19, 0x95178d1d97bf70c363f1bec2778ccfe4c4a4e4cb88f6ce3c939a7a9fb4ce410b;;0.0;0.0;0;0;;False
0xa673e962941E0F87CE557989cbc7901560d349D6;0.0;-0.0456;1;1;2.2;2.2;0.0;2;2;0;2.2;2.2;0.1276;0.1732;0.0;0.0;0x190819eae6bf8f4b73dd009b86c5f8a7553b851e6127905f3ac4cc98e1ff9912, 0x5ad3b25ceb7c7dae44b1c43d43e2e49d389d9a79be0da7b73ca2396eeb61d496;;0.0;0.0;0;0;;False
